Rep_gene	Gene_list_chromosome	most_common_function	function_proportion	count_result	Gene_cnt_chromosome	Genome_cnt
fig|632335.8.peg.2671|Calkr_2455	fig|1387557.3.peg.2125,fig|31899.10.peg.2366|SAMN05216182_2150,fig|632335.8.peg.2671|Calkr_2455,fig|632348.3.peg.918|Calkro_0864	Rhamnogalacturonan endolyase (EC 4.2.2.23)	1.0	Counter({'Rhamnogalacturonan endolyase (EC 4.2.2.23)': 4})	4	4.0
fig|632348.3.peg.398|Calkro_0373	fig|632348.3.peg.398|Calkro_0373	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1730|CallaDRAFT_1663	fig|632516.3.peg.1730|CallaDRAFT_1663	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.1857|Csac_1689	fig|1387557.3.peg.997,fig|31899.10.peg.659,fig|351627.8.peg.1857|Csac_1689,fig|608506.3.peg.278,fig|632348.3.peg.2656,fig|632348.3.peg.324,fig|632518.3.peg.47	Mobile element protein	0.571428571429	Counter({'Mobile element protein': 4, 'hypothetical protein': 3})	7	6.0
fig|632292.3.peg.858|Calhy_0797	fig|632292.3.peg.858|Calhy_0797	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.38|CallaDRAFT_0038	fig|1121259.3.peg.321,fig|1214564.3.peg.531,fig|1387555.3.peg.1344,fig|1387557.3.peg.1742,fig|31899.10.peg.1984|SAMN05216182_1770,fig|351627.8.peg.2216|Csac_2038,fig|608506.3.peg.1160|COB47_1063,fig|632292.3.peg.1329|Calhy_1245,fig|632335.8.peg.1600|Calkr_1476,fig|632348.3.peg.1295|Calkro_1219,fig|632516.3.peg.38|CallaDRAFT_0038,fig|632518.3.peg.1357|Calow_1270	Valyl-tRNA synthetase (EC 6.1.1.9)	1.0	Counter({'Valyl-tRNA synthetase (EC 6.1.1.9)': 12})	12	12.0
fig|632292.3.peg.185|Calhy_0166	fig|632292.3.peg.185|Calhy_0166	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.2660|Calkr_2444	fig|1387555.3.peg.649,fig|1387557.3.peg.2698,fig|632335.8.peg.2660|Calkr_2444,fig|632348.3.peg.394|Calkro_0365	N-acetylmannosaminyltransferase (EC 2.4.1.187)	1.0	Counter({'N-acetylmannosaminyltransferase (EC 2.4.1.187)': 4})	4	4.0
fig|351627.8.peg.452|Csac_0388	fig|351627.8.peg.452|Csac_0388	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|31899.10.peg.35|SAMN05216182_2877	fig|31899.10.peg.35|SAMN05216182_2877	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.3127|SAMN05216182_2852	fig|1387557.3.peg.2371,fig|31899.10.peg.3127|SAMN05216182_2852,fig|632292.3.peg.346|Calhy_0313,fig|632335.8.peg.2348|Calkr_2170	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|31899.10.peg.108|SAMN05216182_0036	fig|31899.10.peg.108|SAMN05216182_0036	Putative hemagglutinin-related protein	1.0	Counter({'Putative hemagglutinin-related protein': 1})	1	1.0
fig|632516.3.peg.2660|CallaDRAFT_2576	fig|632516.3.peg.2660|CallaDRAFT_2576	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.2253|Calkro_2138	fig|632348.3.peg.2253|Calkro_2138	Ferredoxin	1.0	Counter({'Ferredoxin': 1})	1	1.0
fig|632516.3.peg.2097|CallaDRAFT_2025	fig|632516.3.peg.2097|CallaDRAFT_2025	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|31899.10.peg.39|SAMN05216182_2880	fig|31899.10.peg.39|SAMN05216182_2880	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 1})	1	1.0
fig|608506.3.peg.1647|COB47_1534	fig|1121259.3.peg.982,fig|1214564.3.peg.636,fig|1387557.3.peg.1230,fig|31899.10.peg.1458|SAMN05216182_1256,fig|351627.8.peg.2325|Csac_2145,fig|608506.3.peg.1647|COB47_1534,fig|632292.3.peg.1844|Calhy_1751,fig|632335.8.peg.1075|Calkr_0965,fig|632348.3.peg.1795|Calkro_1703,fig|632516.3.peg.2276|CallaDRAFT_2193,fig|632518.3.peg.830|Calow_0763	Dipicolinate synthase subunit B	1.0	Counter({'Dipicolinate synthase subunit B': 11})	11	11.0
fig|632516.3.peg.336|CallaDRAFT_0333	fig|632516.3.peg.336|CallaDRAFT_0333	ATP-dependent DNA helicase	1.0	Counter({'ATP-dependent DNA helicase': 1})	1	1.0
fig|632516.3.peg.1980|CallaDRAFT_1911	fig|632335.8.peg.2467|Calkr_2278,fig|632516.3.peg.1980|CallaDRAFT_1911	Glycosyltransferase	1.0	Counter({'Glycosyltransferase': 2})	2	2.0
fig|31899.10.peg.1008|SAMN05216182_0839	fig|1121259.3.peg.782,fig|1387557.3.peg.827,fig|31899.10.peg.1008|SAMN05216182_0839,fig|351627.8.peg.923|Csac_0812,fig|632348.3.peg.2173|Calkro_2057,fig|632518.3.peg.491|Calow_0440	Positive regulator of CheA protein activity (CheW)	1.0	Counter({'Positive regulator of CheA protein activity (CheW)': 6})	6	6.0
fig|632348.3.peg.33	fig|632348.3.peg.33	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.1669|Calkr_1542	fig|632335.8.peg.1669|Calkr_1542	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.32	fig|632348.3.peg.32	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.237|Csac_0201	fig|1121259.3.peg.1506,fig|351627.8.peg.237|Csac_0201,fig|632516.3.peg.452|CallaDRAFT_0437	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|632516.3.peg.1666|CallaDRAFT_1599	fig|1121259.3.peg.432,fig|1214564.3.peg.2250,fig|1387555.3.peg.238,fig|1387557.3.peg.515,fig|31899.10.peg.643|SAMN05216182_0500,fig|351627.8.peg.183|Csac_0152,fig|608506.3.peg.262|COB47_0238,fig|632292.3.peg.2471|Calhy_2356,fig|632335.8.peg.283|Calkr_0238,fig|632348.3.peg.2454|Calkro_2333,fig|632516.3.peg.1666|CallaDRAFT_1599,fig|632518.3.peg.200|Calow_0181	possible sporulation protein SpoIID	0.416666666667	Counter({'possible sporulation protein SpoIID': 5, 'Possible sporulation protein SpoIID precursor': 3, 'hypothetical protein': 2, 'SPOIID HOMOLOG': 2})	12	12.0
fig|1387557.3.peg.2841	fig|1121259.3.peg.1161,fig|1214564.3.peg.1444,fig|1387557.3.peg.2841,fig|31899.10.peg.79|SAMN05216182_0013,fig|351627.8.peg.232|Csac_0198,fig|351627.8.peg.354|Csac_0304,fig|608506.3.peg.2488|COB47_2290,fig|632292.3.peg.2712|Calhy_2581,fig|632292.3.peg.331|Calhy_0297,fig|632516.3.peg.450|CallaDRAFT_0435,fig|632518.3.peg.2298|Calow_2142,fig|632518.3.peg.2385|Calow_2222	Substrate-specific component BioY of biotin ECF transporter	1.0	Counter({'Substrate-specific component BioY of biotin ECF transporter': 12})	12	9.0
fig|1214564.3.peg.800	fig|1214564.3.peg.800,fig|1387557.3.peg.597	Mobile element protein	0.5	Counter({'Mobile element protein': 1, 'hypothetical protein': 1})	2	2.0
fig|632348.3.peg.20	fig|632348.3.peg.20	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2844	fig|1387557.3.peg.2844,fig|608506.3.peg.2340	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632518.3.peg.2169|Calow_2026	fig|632518.3.peg.2169|Calow_2026	Tn7-like transposition protein D	1.0	Counter({'Tn7-like transposition protein D': 1})	1	1.0
fig|632516.3.peg.1537|CallaDRAFT_1478	fig|632516.3.peg.1537|CallaDRAFT_1478	Arginase (EC 3.5.3.1)	1.0	Counter({'Arginase (EC 3.5.3.1)': 1})	1	1.0
fig|632516.3.peg.2651|CallaDRAFT_2568	fig|632335.8.peg.2537,fig|632516.3.peg.2651|CallaDRAFT_2568	Mobile element protein	1.0	Counter({'Mobile element protein': 2})	2	2.0
fig|31899.10.peg.1161|SAMN05216182_0973	fig|1121259.3.peg.920,fig|1214564.3.peg.1083,fig|1387557.3.peg.975,fig|31899.10.peg.1161|SAMN05216182_0973,fig|351627.8.peg.995|Csac_0877,fig|608506.3.peg.727|COB47_0656,fig|632292.3.peg.2052|Calhy_1962,fig|632348.3.peg.2026|Calkro_1923,fig|632518.3.peg.625|Calow_0568	predicted xylose isomerase	1.0	Counter({'predicted xylose isomerase': 9})	9	9.0
fig|608506.3.peg.2234|COB47_2085	fig|608506.3.peg.2234|COB47_2085,fig|632335.8.peg.2528|Calkr_2335,fig|632516.3.peg.2438|CallaDRAFT_2341	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|1214564.3.peg.818	fig|1214564.3.peg.818	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.819	fig|1214564.3.peg.819	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632518.3.peg.1012|Calow_0936	fig|1121259.3.peg.1124,fig|1214564.3.peg.296,fig|1387555.3.peg.1885,fig|1387557.3.peg.1354,fig|31899.10.peg.1602|SAMN05216182_1400,fig|351627.8.peg.1730|Csac_1571,fig|608506.3.peg.1519|COB47_1412,fig|632292.3.peg.1705|Calhy_1613,fig|632335.8.peg.1223|Calkr_1102,fig|632348.3.peg.1670|Calkro_1581,fig|632516.3.peg.1433|CallaDRAFT_1373,fig|632518.3.peg.1012|Calow_0936	GTP-binding protein Obg	1.0	Counter({'GTP-binding protein Obg': 12})	12	12.0
fig|608506.3.peg.1463|COB47_1356	fig|1121259.3.peg.11,fig|1387555.3.peg.1824,fig|1387557.3.peg.1412,fig|31899.10.peg.1664|SAMN05216182_1457,fig|608506.3.peg.1463|COB47_1356,fig|632335.8.peg.1282|Calkr_1162,fig|632348.3.peg.1601|Calkro_1517,fig|632516.3.peg.1297|CallaDRAFT_1240,fig|632518.3.peg.1068|Calow_0991	Major facilitator:Oxalate:Formate Antiporter	1.0	Counter({'Major facilitator:Oxalate:Formate Antiporter': 9})	9	9.0
fig|632516.3.peg.385|CallaDRAFT_0385	fig|1121259.3.peg.1551,fig|1214564.3.peg.1298,fig|1387555.3.peg.386,fig|1387557.3.peg.234,fig|31899.10.peg.353|SAMN05216182_0227,fig|351627.8.peg.2988|Csac_2761,fig|608506.3.peg.2513|COB47_2314,fig|632292.3.peg.2737|Calhy_2604,fig|632335.8.peg.2899|Calkr_2615,fig|632348.3.peg.2732|Calkro_2568,fig|632516.3.peg.385|CallaDRAFT_0385,fig|632518.3.peg.2413|Calow_2249	hypothetical protein	1.0	Counter({'hypothetical protein': 12})	12	12.0
fig|351627.8.peg.365	fig|1214564.3.peg.2087,fig|351627.8.peg.365	CRISPR-associated endoribonuclease Cas6	1.0	Counter({'CRISPR-associated endoribonuclease Cas6': 2})	2	2.0
fig|31899.10.peg.292|SAMN05216182_0182	fig|1121259.3.peg.1489,fig|1214564.3.peg.1290,fig|1387555.3.peg.331,fig|1387557.3.peg.138,fig|31899.10.peg.292|SAMN05216182_0182,fig|351627.8.peg.95|Csac_0075,fig|608506.3.peg.2446|COB47_2267,fig|632292.3.peg.2692|Calhy_2561,fig|632335.8.peg.2798|Calkr_2550,fig|632348.3.peg.2690|Calkro_2530,fig|632516.3.peg.776|CallaDRAFT_0748	CRISPR-associated protein, Csm1 family	1.0	Counter({'CRISPR-associated protein, Csm1 family': 11})	11	11.0
fig|31899.10.peg.596|SAMN05216182_0454	fig|1121259.3.peg.506,fig|1214564.3.peg.1520,fig|1387557.3.peg.57,fig|31899.10.peg.596|SAMN05216182_0454,fig|351627.8.peg.439|Csac_0380,fig|632292.3.peg.2547|Calhy_2428,fig|632335.8.peg.218|Calkr_0172	Similar to benzoyl-CoA reductase subunit B	1.0	Counter({'Similar to benzoyl-CoA reductase subunit B': 7})	7	7.0
fig|351627.8.peg.2811|Csac_2601	fig|351627.8.peg.2811|Csac_2601	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.835	fig|1121259.3.peg.835	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.165|COB47_0145	fig|1387557.3.peg.422,fig|31899.10.peg.552|SAMN05216182_0411,fig|608506.3.peg.165|COB47_0145,fig|632518.3.peg.103|Calow_0091	Glycosyltransferase	1.0	Counter({'Glycosyltransferase': 4})	4	4.0
fig|632516.3.peg.2008|CallaDRAFT_1939	fig|1121259.3.peg.636,fig|1214564.3.peg.405,fig|1387555.3.peg.1118,fig|1387557.3.peg.2051,fig|31899.10.peg.2283|SAMN05216182_2071,fig|351627.8.peg.2499|Csac_2315,fig|608506.3.peg.1701|COB47_1585,fig|632292.3.peg.1048|Calhy_0974,fig|632335.8.peg.1004|Calkr_0900,fig|632348.3.peg.1000|Calkro_0941,fig|632516.3.peg.2008|CallaDRAFT_1939,fig|632518.3.peg.1610|Calow_1515	Purine nucleoside phosphorylase (EC 2.4.2.1)	0.666666666667	Counter({'Purine nucleoside phosphorylase (EC 2.4.2.1)': 8, 'Purine nucleoside phosphorylase (EC 2.4.2.1) @ N-Ribosylnicotinamide phosphorylase (EC 2.4.2.1)': 4})	12	12.0
fig|31899.10.peg.698|SAMN05216182_0545	fig|31899.10.peg.698|SAMN05216182_0545	Subtilisin-like serine protease-like protein	1.0	Counter({'Subtilisin-like serine protease-like protein': 1})	1	1.0
fig|632292.3.peg.2601|Calhy_2482	fig|632292.3.peg.2601|Calhy_2482	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.563|Calhy_0516	fig|1121259.3.peg.2249,fig|1214564.3.peg.102,fig|1387557.3.peg.300,fig|31899.10.peg.421|SAMN05216182_0292,fig|351627.8.peg.806|Csac_0701,fig|608506.3.peg.37|COB47_0036,fig|632292.3.peg.563|Calhy_0516,fig|632335.8.peg.2699|Calkr_2484,fig|632516.3.peg.1373|CallaDRAFT_1312	hypothetical protein	0.777777777778	Counter({'hypothetical protein': 7, 'Streptococcal hemagglutinin protein': 2})	9	9.0
fig|632516.3.peg.1135|CallaDRAFT_1075	fig|632516.3.peg.1135|CallaDRAFT_1075	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2749|CallaDRAFT_2670	fig|632335.8.peg.618,fig|632516.3.peg.2749|CallaDRAFT_2670	Transposase, mutator type	1.0	Counter({'Transposase, mutator type': 2})	2	2.0
fig|351627.8.peg.146|Csac_0123	fig|1121259.3.peg.1209,fig|1121259.3.peg.1286,fig|1121259.3.peg.1716,fig|1214564.3.peg.1397,fig|1214564.3.peg.1951,fig|1214564.3.peg.2177,fig|1387555.3.peg.1815,fig|1387555.3.peg.266,fig|1387557.3.peg.1934,fig|1387557.3.peg.2606,fig|1387557.3.peg.2710,fig|1387557.3.peg.487,fig|31899.10.peg.2181|SAMN05216182_1961,fig|31899.10.peg.2751|SAMN05216182_2509,fig|31899.10.peg.623|SAMN05216182_0480,fig|351627.8.peg.1379|Csac_1236,fig|351627.8.peg.146|Csac_0123,fig|351627.8.peg.1834|Csac_1667,fig|351627.8.peg.268|Csac_0229,fig|608506.3.peg.2108|COB47_1974,fig|608506.3.peg.2183|COB47_2042,fig|632292.3.peg.1158|Calhy_1078,fig|632292.3.peg.2510|Calhy_2393,fig|632292.3.peg.524|Calhy_0479,fig|632335.8.peg.2482|Calkr_2292,fig|632335.8.peg.442|Calkr_0386,fig|632348.3.peg.2477,fig|632348.3.peg.383|Calkro_0354,fig|632348.3.peg.472|Calkro_0442,fig|632516.3.peg.1816|CallaDRAFT_1748,fig|632516.3.peg.2084|CallaDRAFT_2013,fig|632516.3.peg.700|CallaDRAFT_0677,fig|632518.3.peg.175|Calow_0160,fig|632518.3.peg.2001|Calow_1882,fig|632518.3.peg.2110|Calow_1977	Nucleotidyltransferase domain protein, SO_3165 group	1.0	Counter({'Nucleotidyltransferase domain protein, SO_3165 group': 35})	35	12.0
fig|608506.3.peg.670|COB47_0607	fig|608506.3.peg.670|COB47_0607,fig|632348.3.peg.2082|Calkro_1975	Spore cortex biosynthesis protein	1.0	Counter({'Spore cortex biosynthesis protein': 2})	2	2.0
fig|351627.8.peg.2330|Csac_2150	fig|1121259.3.peg.978,fig|1214564.3.peg.641,fig|1387555.3.peg.1253,fig|1387557.3.peg.1226,fig|31899.10.peg.1454|SAMN05216182_1252,fig|351627.8.peg.2330|Csac_2150,fig|608506.3.peg.1651|COB47_1538,fig|632292.3.peg.1848|Calhy_1755,fig|632335.8.peg.1071|Calkr_0961,fig|632348.3.peg.1799|Calkro_1707,fig|632516.3.peg.2272|CallaDRAFT_2189,fig|632518.3.peg.826|Calow_0759	hypothetical protein	1.0	Counter({'hypothetical protein': 12})	12	12.0
fig|632516.3.peg.1254|CallaDRAFT_1198	fig|1121259.3.peg.505,fig|1387557.3.peg.56,fig|31899.10.peg.597|SAMN05216182_0455,fig|351627.8.peg.440|Csac_0381,fig|632292.3.peg.2546|Calhy_2427,fig|632335.8.peg.219|Calkr_0173,fig|632516.3.peg.1254|CallaDRAFT_1198	Similar to benzoyl-CoA reductase subunit D, long form	1.0	Counter({'Similar to benzoyl-CoA reductase subunit D, long form': 7})	7	7.0
fig|632516.3.peg.1446|CallaDRAFT_1385	fig|1121259.3.peg.1106,fig|1214564.3.peg.1113,fig|1387557.3.peg.1339,fig|31899.10.peg.1583|SAMN05216182_1381,fig|351627.8.peg.1715|Csac_1556,fig|608506.3.peg.1531|COB47_1423,fig|632292.3.peg.1727|Calhy_1634,fig|632335.8.peg.1211|Calkr_1091,fig|632348.3.peg.1681|Calkro_1592,fig|632516.3.peg.1446|CallaDRAFT_1385,fig|632518.3.peg.991|Calow_0920	Transcriptional regulator, ArsR family	1.0	Counter({'Transcriptional regulator, ArsR family': 11})	11	11.0
fig|632516.3.peg.410|CallaDRAFT_0404	fig|1387557.3.peg.177,fig|632335.8.peg.2881|Calkr_2597,fig|632516.3.peg.410|CallaDRAFT_0404	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|351627.8.peg.1138|Csac_1007	fig|1121259.3.peg.2406,fig|1214564.3.peg.1928,fig|1387557.3.peg.2233,fig|31899.10.peg.2464|SAMN05216182_2247,fig|351627.8.peg.1138|Csac_1007,fig|608506.3.peg.1877|COB47_1755,fig|632292.3.peg.892|Calhy_0830,fig|632348.3.peg.792|Calkro_0747,fig|632518.3.peg.1767|Calow_1668	hypothetical protein	1.0	Counter({'hypothetical protein': 9})	9	9.0
fig|632516.3.peg.2120|CallaDRAFT_2045	fig|1121259.3.peg.2492,fig|1214564.3.peg.1056,fig|1387555.3.peg.2304,fig|1387557.3.peg.1017,fig|31899.10.peg.1207|SAMN05216182_1017,fig|351627.8.peg.1019|Csac_0900,fig|608506.3.peg.755|COB47_0682,fig|632292.3.peg.2029|Calhy_1939,fig|632335.8.peg.2127|Calkr_1965,fig|632348.3.peg.2000|Calkro_1900,fig|632516.3.peg.2120|CallaDRAFT_2045,fig|632518.3.peg.660|Calow_0598	GTP-binding protein EngA	1.0	Counter({'GTP-binding protein EngA': 12})	12	12.0
fig|31899.10.peg.1425|SAMN05216182_1225	fig|31899.10.peg.1425|SAMN05216182_1225	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1851	fig|1121259.3.peg.1605,fig|632335.8.peg.1954,fig|632516.3.peg.1851	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|632518.3.peg.218	fig|632518.3.peg.218	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632518.3.peg.521|Calow_0469	fig|632518.3.peg.521|Calow_0469	Transposase, IS4 family	1.0	Counter({'Transposase, IS4 family': 1})	1	1.0
fig|31899.10.peg.1840|SAMN05216182_1629	fig|31899.10.peg.1840|SAMN05216182_1629	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2614|CallaDRAFT_2522	fig|31899.10.peg.391|SAMN05216182_0263,fig|632516.3.peg.2614|CallaDRAFT_2522	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632516.3.peg.844|CallaDRAFT_0807	fig|632516.3.peg.844|CallaDRAFT_0807	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632516.3.peg.2419|CallaDRAFT_2322	fig|1121259.3.peg.343,fig|1214564.3.peg.196,fig|1387557.3.peg.613,fig|31899.10.peg.810|SAMN05216182_0650,fig|351627.8.peg.317|Csac_0276,fig|608506.3.peg.397|COB47_0353,fig|632292.3.peg.2364|Calhy_2255,fig|632335.8.peg.385|Calkr_0339,fig|632348.3.peg.2357|Calkro_2240,fig|632516.3.peg.2419|CallaDRAFT_2322,fig|632518.3.peg.274|Calow_0251	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)	1.0	Counter({'Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)': 11})	11	11.0
fig|632335.8.peg.2814	fig|632335.8.peg.2814	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632335.8.peg.2815	fig|632335.8.peg.2815	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.625|Calkr_0558	fig|632335.8.peg.625|Calkr_0558	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632335.8.peg.2811	fig|632335.8.peg.2811	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632335.8.peg.2812	fig|632335.8.peg.2812	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.470|Csac_0402	fig|1121259.3.peg.501,fig|1214564.3.peg.1257,fig|351627.8.peg.470|Csac_0402,fig|632292.3.peg.266|Calhy_0241,fig|632335.8.peg.223|Calkr_0177,fig|632516.3.peg.1258|CallaDRAFT_1202	Nitrite reductase probable	1.0	Counter({'Nitrite reductase probable': 6})	6	6.0
fig|632516.3.peg.2761|CallaDRAFT_2681	fig|632516.3.peg.2761|CallaDRAFT_2681	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|1387557.3.peg.1003	fig|1387557.3.peg.1003	Protein of unknown function UPF0150	1.0	Counter({'Protein of unknown function UPF0150': 1})	1	1.0
fig|1387557.3.peg.1004	fig|1387557.3.peg.1004,fig|31899.10.peg.233|SAMN05216182_0144,fig|632348.3.peg.336|Calkro_0314	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|1387557.3.peg.1006	fig|1387557.3.peg.1006	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2139|CallaDRAFT_2062	fig|632516.3.peg.2139|CallaDRAFT_2062	DNA gyrase subunit A (EC 5.99.1.3)	1.0	Counter({'DNA gyrase subunit A (EC 5.99.1.3)': 1})	1	1.0
fig|632516.3.peg.2085|CallaDRAFT_2014	fig|1121259.3.peg.1210,fig|632335.8.peg.2481|Calkr_2291,fig|632516.3.peg.2085|CallaDRAFT_2014	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|608506.3.peg.987|COB47_0907	fig|1121259.3.peg.1711,fig|1214564.3.peg.827,fig|1387555.3.peg.1820,fig|1387557.3.peg.1939,fig|31899.10.peg.2186|SAMN05216182_1966,fig|351627.8.peg.1829|Csac_1662,fig|608506.3.peg.987|COB47_0907,fig|632292.3.peg.1153|Calhy_1073,fig|632335.8.peg.1826|Calkr_1692,fig|632348.3.peg.1099|Calkro_1037,fig|632516.3.peg.1811|CallaDRAFT_1743,fig|632518.3.peg.1507|Calow_1418	Negative regulator of flagellin synthesis FlgM (anti-sigma28)	1.0	Counter({'Negative regulator of flagellin synthesis FlgM (anti-sigma28)': 12})	12	12.0
fig|632518.3.peg.338|Calow_0305	fig|632518.3.peg.338|Calow_0305	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.791|Calhy_0729	fig|632292.3.peg.791|Calhy_0729	Radical SAM domain protein	1.0	Counter({'Radical SAM domain protein': 1})	1	1.0
fig|632516.3.peg.333|CallaDRAFT_0330	fig|632516.3.peg.333|CallaDRAFT_0330	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	1.0	Counter({'Nicotinate phosphoribosyltransferase (EC 6.3.4.21)': 1})	1	1.0
fig|351627.8.peg.2738|Csac_2539	fig|1121259.3.peg.2089,fig|1214564.3.peg.1527,fig|1387557.3.peg.349,fig|351627.8.peg.2738|Csac_2539,fig|632292.3.peg.94|Calhy_0087,fig|632348.3.peg.108|Calkro_0104,fig|632518.3.peg.51|Calow_0048	beta-glycosyl hydrolase	1.0	Counter({'beta-glycosyl hydrolase': 7})	7	7.0
fig|608506.3.peg.1115	fig|608506.3.peg.1115	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.1613	fig|31899.10.peg.1613	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.1619	fig|31899.10.peg.1619	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.47|SAMN05216182_2886	fig|31899.10.peg.47|SAMN05216182_2886	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.714|Calkro_0670	fig|1387557.3.peg.2313,fig|351627.8.peg.2843|Csac_2632,fig|632292.3.peg.424|Calhy_0386,fig|632348.3.peg.714|Calkro_0670	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|632516.3.peg.1726|CallaDRAFT_1659	fig|632516.3.peg.1726|CallaDRAFT_1659	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.2459|SAMN05216182_2242	fig|1121259.3.peg.2411,fig|1214564.3.peg.1923,fig|1387555.3.peg.987,fig|1387557.3.peg.2226,fig|31899.10.peg.2459|SAMN05216182_2242,fig|351627.8.peg.1143|Csac_1012,fig|608506.3.peg.1872|COB47_1750,fig|632292.3.peg.897|Calhy_0835,fig|632335.8.peg.863|Calkr_0761,fig|632348.3.peg.797|Calkro_0752,fig|632516.3.peg.668|CallaDRAFT_0645,fig|632518.3.peg.1762|Calow_1663	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)	0.666666666667	Counter({'ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)': 8, 'Glutamine ABC transporter, ATP-binding protein GlnQ': 4})	12	12.0
