Rep_gene	most_common_function	function_proportion	count_result
fig|1387555.3.peg.866	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)	1.0	Counter({'Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)': 1})
fig|1387555.3.peg.867	RNA-2',3'-PO4:RNA-5'-OH ligase	1.0	Counter({"RNA-2',3'-PO4:RNA-5'-OH ligase": 11})
fig|1387555.3.peg.864	Fe-S oxidoreductase	1.0	Counter({'Fe-S oxidoreductase': 12})
fig|1387555.3.peg.865	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)	1.0	Counter({'Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)': 1})
fig|1387555.3.peg.863	Regulatory protein ArsR	0.818181818182	Counter({'Regulatory protein ArsR': 9, 'Transcriptional regulator, ArsR family': 2})
fig|351627.8.peg.248	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632335.8.peg.2453|Calkr_2265	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|1121259.3.peg.1069	8-oxoguanine-DNA-glycosylase	0.916666666667	Counter({'8-oxoguanine-DNA-glycosylase': 11, '8-oxoguanine DNA glycosylase domain protein': 1})
fig|632292.3.peg.493	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2981|Csac_2755	DNA modification methyltransferase (EC 2.1.1.-)	1.0	Counter({'DNA modification methyltransferase (EC 2.1.1.-)': 2})
fig|1387555.3.peg.2271	Cell division protein FtsQ	1.0	Counter({'Cell division protein FtsQ': 12})
fig|632518.3.peg.207	Methyltransferase type 11	1.0	Counter({'Methyltransferase type 11': 1})
fig|1121259.3.peg.1067	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1066	Transcription termination factor Rho	1.0	Counter({'Transcription termination factor Rho': 12})
fig|632335.8.peg.1300|Calkr_1179	Precorrin-2 oxidase (EC 1.3.1.76) @ Sirohydrochlorin ferrochelatase activity of CysG (EC 4.99.1.4)	1.0	Counter({'Precorrin-2 oxidase (EC 1.3.1.76) @ Sirohydrochlorin ferrochelatase activity of CysG (EC 4.99.1.4)': 7})
fig|31899.10.peg.2119|SAMN05216182_1900	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|632516.3.peg.2608|CallaDRAFT_2514	Diaminopimelate epimerase (EC 5.1.1.7)	1.0	Counter({'Diaminopimelate epimerase (EC 5.1.1.7)': 12})
fig|632516.3.peg.775	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.28	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2786|SAMN05216182_2541	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.361|CallaDRAFT_0360	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.771	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|31899.10.peg.2765|SAMN05216182_2520	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	1.0	Counter({'Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)': 1})
fig|632516.3.peg.2709|CallaDRAFT_2619	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1569	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|31899.10.peg.1585|SAMN05216182_1383	alpha-galactosidase (EC 3.2.1.22)	1.0	Counter({'alpha-galactosidase (EC 3.2.1.22)': 14})
fig|1387555.3.peg.2180	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	1.0	Counter({'3-isopropylmalate dehydrogenase (EC 1.1.1.85)': 12})
fig|632516.3.peg.2306|CallaDRAFT_2221	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.2187	Iron-sulfur cluster-binding protein	1.0	Counter({'Iron-sulfur cluster-binding protein': 12})
fig|1387555.3.peg.2184	Peptide chain release factor 2	1.0	Counter({'Peptide chain release factor 2': 12})
fig|1387555.3.peg.2185	Protein translocase subunit SecA	1.0	Counter({'Protein translocase subunit SecA': 12})
fig|1387555.3.peg.1561	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	1.0	Counter({'Isoleucyl-tRNA synthetase (EC 6.1.1.5)': 12})
fig|1387555.3.peg.1560	3-dehydroquinate synthase (EC 4.2.3.4)	1.0	Counter({'3-dehydroquinate synthase (EC 4.2.3.4)': 12})
fig|632335.8.peg.815	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1562	Cell division initiation protein DivIVA	1.0	Counter({'Cell division initiation protein DivIVA': 12})
fig|1387555.3.peg.1565	SepF, FtsZ-interacting protein related to cell division	1.0	Counter({'SepF, FtsZ-interacting protein related to cell division': 12})
fig|1387555.3.peg.1564	Cell division integral membrane protein, YggT and half-length relatives	1.0	Counter({'Cell division integral membrane protein, YggT and half-length relatives': 12})
fig|1387555.3.peg.1567	Endonuclease Q, cleaves 5' to damaged DNA bases	1.0	Counter({"Endonuclease Q, cleaves 5' to damaged DNA bases": 12})
fig|1387555.3.peg.1566	Pyridoxal phosphate-containing protein YggS	1.0	Counter({'Pyridoxal phosphate-containing protein YggS': 12})
fig|1121259.3.peg.2440	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.816|COB47_0742	FIG000605: protein co-occurring with transport systems (COG1739)	1.0	Counter({'FIG000605: protein co-occurring with transport systems (COG1739)': 12})
fig|351627.8.peg.2966|Csac_2743	Dihydrodipicolinate synthase family	1.0	Counter({'Dihydrodipicolinate synthase family': 1})
fig|1121259.3.peg.2445	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1121259.3.peg.2448	L-fucose isomerase (EC 5.3.1.25) @ D-Arabinose ketol-isomerase (EC 5.3.1.3)	1.0	Counter({'L-fucose isomerase (EC 5.3.1.25) @ D-Arabinose ketol-isomerase (EC 5.3.1.3)': 2})
fig|632516.3.peg.2222|CallaDRAFT_2137	Glycerol uptake operon antiterminator regulatory protein	0.636363636364	Counter({'Glycerol uptake operon antiterminator regulatory protein': 7, 'Glycerol-3-phosphate responsive antiterminator (mRNA-binding)': 4})
fig|632516.3.peg.455|CallaDRAFT_0440	hypothetical protein	0.454545454545	Counter({'hypothetical protein': 5, 'uncharacterized membrane protein (homolog of Drosophila rhomboid)': 3, 'Rhomboid family protein': 2, 'FIG056164: rhomboid family serine protease': 1})
fig|632516.3.peg.1723|CallaDRAFT_1656	Helicase, SNF2/RAD54 family	1.0	Counter({'Helicase, SNF2/RAD54 family': 1})
fig|31899.10.peg.761|SAMN05216182_0604	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.51	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.381|Csac_0328	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|351627.8.peg.55	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.448|SAMN05216182_0321	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.57	Transposase	1.0	Counter({'Transposase': 1})
fig|351627.8.peg.58	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632335.8.peg.2768	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1880	alpha-xylosidase (EC 3.2.1.177)	1.0	Counter({'alpha-xylosidase (EC 3.2.1.177)': 2})
fig|632518.3.peg.2195|Calow_2051	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.302|CallaDRAFT_0302	Transcription-repair coupling factor	1.0	Counter({'Transcription-repair coupling factor': 1})
fig|632335.8.peg.1386|Calkr_1265	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.54	DNA-binding protein SpoVG	1.0	Counter({'DNA-binding protein SpoVG': 12})
fig|1387555.3.peg.55	Pur operon repressor PurR	1.0	Counter({'Pur operon repressor PurR': 12})
fig|1387555.3.peg.50	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.51	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.52	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.86|Calkr_0059	Efflux ABC transporter, permease/ATP-binding protein YfiB	1.0	Counter({'Efflux ABC transporter, permease/ATP-binding protein YfiB': 12})
fig|31899.10.peg.2952|SAMN05216182_2695	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|1121259.3.peg.1474	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2118|SAMN05216182_1899	hypothetical protein	0.888888888889	Counter({'hypothetical protein': 8, 'nucleic acid-binding protein contains PIN domain-like protein': 1})
fig|31899.10.peg.2953|SAMN05216182_2696	Two-component transcriptional response regulator, LuxR family	0.375	Counter({'Two-component transcriptional response regulator, LuxR family': 3, 'Response regulator receiver protein': 3, 'Two-component response regulator yesN': 2})
fig|31899.10.peg.2559|SAMN05216182_2329	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.2157|Csac_1979	Auxin efflux carrier family protein	1.0	Counter({'Auxin efflux carrier family protein': 12})
fig|632516.3.peg.478|CallaDRAFT_0459	N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces	1.0	Counter({'N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces': 2})
fig|608506.3.peg.2156|COB47_2017	Putative glycosyl hydrolase of unknown function (DUF1680)	1.0	Counter({'Putative glycosyl hydrolase of unknown function (DUF1680)': 1})
fig|632516.3.peg.2107|CallaDRAFT_2033	hypothetical protein	1.0	Counter({'hypothetical protein': 10})
fig|632518.3.peg.2173|Calow_2030	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2415	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.844|SAMN05216182_0685	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.759	RNase adapter protein RapZ	1.0	Counter({'RNase adapter protein RapZ': 12})
fig|31899.10.peg.628|SAMN05216182_0485	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632335.8.peg.2409|Calkr_2226	Serine-protein kinase RsbW (EC 2.7.11.1)	1.0	Counter({'Serine-protein kinase RsbW (EC 2.7.11.1)': 12})
fig|1387555.3.peg.1989	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1988	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1982	Type IV fimbrial assembly protein PilC	1.0	Counter({'Type IV fimbrial assembly protein PilC': 12})
fig|1387555.3.peg.1980	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1987	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1984	Type IV fimbrial assembly, ATPase PilB	1.0	Counter({'Type IV fimbrial assembly, ATPase PilB': 12})
fig|1387557.3.peg.581	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387557.3.peg.580	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.239	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.2034|SAMN05216182_1826	Asparagine synthetase	1.0	Counter({'Asparagine synthetase': 11})
fig|1387557.3.peg.584	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.18|SAMN05216182_2864	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2230	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.974|CallaDRAFT_0920	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1095	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.518	transposase, IS605 OrfB family	1.0	Counter({'transposase, IS605 OrfB family': 1})
fig|1387555.3.peg.519	Endo-1,4-beta-xylanase (EC 3.2.1.8)	1.0	Counter({'Endo-1,4-beta-xylanase (EC 3.2.1.8)': 12})
fig|1387555.3.peg.516	FIG00441814: hypothetical protein	1.0	Counter({'FIG00441814: hypothetical protein': 1})
fig|608506.3.peg.1393|COB47_1288	Transamidase GatB domain protein	1.0	Counter({'Transamidase GatB domain protein': 1})
fig|632518.3.peg.2171|Calow_2028	Transposon Tn7 transposition protein tnsB	1.0	Counter({'Transposon Tn7 transposition protein tnsB': 1})
fig|1387555.3.peg.515	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.512	Uncharacterized protein Bsu3320.5	1.0	Counter({'Uncharacterized protein Bsu3320.5': 12})
fig|632516.3.peg.1292	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.510	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|632292.3.peg.76|Calhy_0069	ABC transporter, permease protein	1.0	Counter({'ABC transporter, permease protein': 3})
fig|351627.8.peg.2722	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2723	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2724	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1228|CallaDRAFT_1173	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|632516.3.peg.1125|CallaDRAFT_1065	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|608506.3.peg.2464|COB47_2275	CRISPR-associated protein, Csd2/Csh2 family	1.0	Counter({'CRISPR-associated protein, Csd2/Csh2 family': 13})
fig|1214564.3.peg.1272	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1273	CRISPR-associated protein Csx1	1.0	Counter({'CRISPR-associated protein Csx1': 1})
fig|1214564.3.peg.1274	CRISPR-associated protein Csx1	1.0	Counter({'CRISPR-associated protein Csx1': 1})
fig|1214564.3.peg.1275	CRISPR-associated protein Csx1	1.0	Counter({'CRISPR-associated protein Csx1': 1})
fig|1214564.3.peg.1278	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632516.3.peg.454|CallaDRAFT_0439	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|608506.3.peg.97	beta-glucuronidase (EC 3.2.1.31)	1.0	Counter({'beta-glucuronidase (EC 3.2.1.31)': 1})
fig|608506.3.peg.94	Response regulator receiver protein	1.0	Counter({'Response regulator receiver protein': 1})
fig|608506.3.peg.95	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.876|Calow_0806	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2144|Calkr_1980	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	1.0	Counter({'2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)': 13})
fig|1121259.3.peg.1885	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)	1.0	Counter({'Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)': 2})
fig|632518.3.peg.1040|Calow_0964	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	1.0	Counter({'UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)': 12})
fig|632348.3.peg.2631	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2633	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.1746	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.608|SAMN05216182_0465	Alternative dihydrofolate reductase 2 / Dihydropteroate synthase (EC 2.5.1.15)	1.0	Counter({'Alternative dihydrofolate reductase 2 / Dihydropteroate synthase (EC 2.5.1.15)': 12})
fig|608506.3.peg.1864	Mobile element protein	1.0	Counter({'Mobile element protein': 3})
fig|608506.3.peg.1865	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.2353|CallaDRAFT_2262	Spore coat protein S	1.0	Counter({'Spore coat protein S': 11})
fig|632516.3.peg.1010|CallaDRAFT_0953	hypothetical protein	0.833333333333	Counter({'hypothetical protein': 10, 'Transglycosylase-associated protein': 2})
fig|632516.3.peg.1873	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632348.3.peg.102|Calkro_0098	Glucosamine-6-phosphate deaminase	1.0	Counter({'Glucosamine-6-phosphate deaminase': 3})
fig|632292.3.peg.2463|Calhy_2348	beta-galactosidase (EC 3.2.1.23)	1.0	Counter({'beta-galactosidase (EC 3.2.1.23)': 1})
fig|31899.10.peg.394|SAMN05216182_0266	Transposase	1.0	Counter({'Transposase': 3})
fig|632348.3.peg.2346|Calkro_2230	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.1590|Calkr_1466	Substrate-specific component QueT (COG4708) of predicted queuosine-regulated ECF transporter	1.0	Counter({'Substrate-specific component QueT (COG4708) of predicted queuosine-regulated ECF transporter': 12})
fig|31899.10.peg.1177|SAMN05216182_0989	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.1666|Calkro_1578	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.499	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.498	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|608506.3.peg.495	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2500|CallaDRAFT_2406	Efflux ABC transporter, permease protein	1.0	Counter({'Efflux ABC transporter, permease protein': 1})
fig|632335.8.peg.2872	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632335.8.peg.2873	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.115|Calkr_0086	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 11})
fig|1121259.3.peg.2274	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.1282	Lipoprotein signal peptidase (EC 3.4.23.36)	1.0	Counter({'Lipoprotein signal peptidase (EC 3.4.23.36)': 1})
fig|608506.3.peg.1283	Lipoprotein signal peptidase (EC 3.4.23.36)	1.0	Counter({'Lipoprotein signal peptidase (EC 3.4.23.36)': 1})
fig|1121259.3.peg.2270	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2444|CallaDRAFT_2347	Maltodextrin ABC transporter, permease protein MdxG	1.0	Counter({'Maltodextrin ABC transporter, permease protein MdxG': 11})
fig|632516.3.peg.1309|CallaDRAFT_1252	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|1121259.3.peg.2278	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.167	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2557|SAMN05216182_2327	DNA-methyltransferase	1.0	Counter({'DNA-methyltransferase': 2})
fig|31899.10.peg.161	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|608506.3.peg.2239|COB47_2090	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|608506.3.peg.2283|COB47_2126	HD superfamily hydrolase	1.0	Counter({'HD superfamily hydrolase': 10})
fig|608506.3.peg.143	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|608506.3.peg.141	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.140	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.359|Csac_0309	Transposase	1.0	Counter({'Transposase': 1})
fig|31899.10.peg.745|SAMN05216182_0588	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.144	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.21|CallaDRAFT_0021	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)': 1})
